RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Load,Class_3,Normalized_Power,Normalized_Load
2.368,237.421,8,95,268,27,1,3,0.662,0.533
2.193,240.567,3,85,241,25,2,2,0.265,0.2
2.176,240.094,15,75,246,25,4,2,0.338,1.0
2.174,237.028,11,85,242,25,3,2,0.279,0.733
2.181,240.838,10,75,244,25,2,2,0.309,0.667
2.378,237.858,8,95,266,27,1,3,0.632,0.533
2.169,240.424,4,75,242,25,1,2,0.279,0.267
2.159,237.073,14,85,247,25,3,2,0.353,0.933
2.122,239.776,0,30,232,24,0,1,0.132,0.0
2.21,240.518,6,75,246,25,2,2,0.338,0.4
2.42,237.025,10,95,274,28,2,3,0.75,0.667
2.148,240.509,8,85,240,24,1,2,0.25,0.533
2.452,236.958,5,95,274,28,2,3,0.75,0.333
2.437,237.162,5,95,271,28,2,3,0.706,0.333
2.406,237.32,4,95,267,27,1,3,0.647,0.267
2.165,236.898,13,85,240,24,3,2,0.25,0.867
2.193,240.007,6,75,247,25,2,2,0.353,0.4
2.168,240.09,1,75,242,25,1,2,0.279,0.067
2.124,240.236,1,70,234,24,1,1,0.162,0.067
2.374,237.312,8,95,264,27,1,3,0.603,0.533
2.19,236.762,15,85,244,25,4,2,0.309,1.0
2.543,236.795,6,95,278,28,2,3,0.809,0.4
2.174,240.6,7,75,245,25,3,2,0.324,0.467
2.155,240.808,8,75,240,24,1,2,0.25,0.533
2.142,239.603,0,0,230,24,0,1,0.103,0.0
2.452,237.087,7,95,280,28,3,3,0.838,0.467
2.362,237.645,0,95,264,27,0,3,0.603,0.0
2.174,240.93,10,75,243,25,2,2,0.294,0.667
2.161,240.121,12,85,241,25,2,2,0.265,0.8
2.448,236.847,12,95,272,28,2,3,0.721,0.8
2.172,240.361,0,70,237,24,0,1,0.206,0.0
2.451,237.228,15,95,282,29,4,3,0.868,1.0
2.174,240.901,15,75,245,25,4,2,0.324,1.0
2.385,237.682,2,95,267,27,1,3,0.647,0.133
2.129,239.894,0,30,228,23,0,1,0.074,0.0
2.528,236.757,7,95,281,29,3,3,0.853,0.467
2.149,237.098,13,85,239,24,3,2,0.235,0.867
2.41,237.748,5,95,274,28,2,3,0.75,0.333
2.165,239.946,5,75,243,25,2,2,0.294,0.333
2.459,237.175,14,95,280,28,3,3,0.838,0.933
2.172,240.113,0,85,238,24,0,2,0.221,0.0
2.18,240.282,5,75,244,25,2,2,0.309,0.333
2.18,239.968,10,85,242,25,2,2,0.279,0.667
2.187,240.611,7,75,246,25,3,2,0.338,0.467
2.177,240.361,9,85,242,25,2,2,0.279,0.6
2.179,240.76,3,85,244,25,2,2,0.309,0.2
2.172,240.236,2,85,245,25,1,2,0.324,0.133
